"laptop_ID","Company","Product","TypeName","Inches","ScreenResolution","Cpu","Ram","Memory","Gpu","OpSys","Weight","Price_euros"
599,"Dell","Inspiron 3179","2 in 1 Convertible","11.6","Touchscreen 1366x768","Intel Core M 7Y30 1.0GHz","4GB","128GB SSD","Intel HD Graphics 615","Windows 10","1.39kg",603
92,"Asus","FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon","Gaming","15.6","Full HD 1920x1080","AMD FX 9830P 3GHz","8GB","1TB HDD","AMD Radeon RX 560","Windows 10","2.45kg",699
744,"HP","ZBook 15","Workstation","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD","Nvidia Quadro M2200","Windows 10","2.6kg",2419
729,"HP","Pavilion X360","2 in 1 Convertible","13.3","IPS Panel Touchscreen 1366x768","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.58kg",836.6
957,"Toshiba","Tecra A50-C-1ZV","Notebook","15.6","1366x768","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","2.2kg",1119
548,"Dell","Vostro 5468","Notebook","14.0","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","1.6kg",735.87
694,"HP","250 G6","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","AMD Radeon 520","Windows 10","1.86kg",612.61
674,"Dell","Latitude 3580","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.06kg",955
983,"Lenovo","IdeaPad 310-15IKB","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","6GB","256GB SSD","Nvidia GeForce 920MX","Windows 10","2.4kg",695
959,"Lenovo","IdeaPad Y700-15ACZ","Gaming","15.6","IPS Panel Full HD 1920x1080","AMD FX 8800P 2.1GHz","16GB","512GB SSD +  1TB HDD","AMD Radeon R9 M385","Windows 10","2.5kg",999
1013,"HP","EliteBook 840","Ultrabook","14.0","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.48kg",2089
1077,"Dell","Inspiron 5567","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","2TB HDD","AMD Radeon R7 M445","Windows 10","2.32kg",989.99
